# Number of texts	 Time to identify
100	0.0469999313354
200	0.0929999351501
300	0.141000032425
400	0.18700003624
500	0.264999866486
600	0.328999996185
700	0.375
800	0.43799996376
900	0.530999898911
1000	0.56299996376
1100	0.610000133514
1200	0.65700006485
