# Number of texts	 Time to identify
100	663.233999968
200	961.70299983
300	1227.42199993
400	1387.09299994
500	1559.09299994
600	1694.38999987
700	1847.81200004
800	1946.71799994
900	2059.6559999
1000	2231.09299994
1100	2339.76499987
1200	2456.79699993
